Unnamed: 0	t_score_TCvsB6	p-value	log2FC_TCvsB6
Gm19522	1.50448	0.183162	1.115460943
4930453L07Rik	1.50452	0.183163	1.146248622
Psma5	-1.51714	0.183173	-1.08209
2010001K21Rik	1.50583	0.183187	1.064185757
Hsd11b1	-1.55734	0.183194	-1.0955
Gm9861	1.73021	0.183203	1.132985973
Gm15763	-1.55584	0.18321	-1.04737
Slc25a39	1.51476	0.183211	1.055736647
Pmfbp1	1.53454	0.183238	1.111532398
Tubg2	1.75113	0.183274	1.093922096
Gm17072	-1.50829	0.183303	-1.09562
Csmd2	1.51324	0.183309	1.065041761
Stx18	-1.68003	0.183315	-1.056409999
Gm25809	1.54665	0.183346	1.09373255
Gm2986	-1.51773	0.183348	-1.03508
Atxn2l	1.51313	0.18339	1.101821103
Gabarap	1.51208	0.183394	1.081587213
Klhl3	-1.52055	0.183407	-1.05779
E230015B07Rik	1.57279	0.183446	1.091907012
Aldh1a1	1.50884	0.183471	1.064576777
Gm4913	1.61784	0.183481	1.161428225
Kansl3	1.52433	0.183516	1.053090921
Ido1	1.52918	0.183518	1.09065136
Fzd1	1.51993	0.183539	1.129113097
Casp12	1.59175	0.183549	1.110600538
Gm8715	1.50703	0.183559	1.17090173
Gnal	1.60416	0.183567	1.072226725
Ddx43	-1.62947	0.183571	-1.14231
1700061H18Rik	1.60304	0.183571	1.073535575
Abracl	-1.57109	0.183581	-1.04452
Gm22751	-1.53551	0.18359	-1.03954
B230312C02Rik	1.50259	0.183634	1.076978911
Vamp7-ps	-1.57064	0.183638	-1.14168
Gm6416	1.50284	0.183656	1.080335939
Polr3gl	1.62853	0.183663	1.050845082
Gm25295	1.51067	0.183673	1.153349692
9330178D15Rik	1.56704	0.18369	1.135242102
Gm23390	1.62055	0.183708	1.092595965
Stard6	-1.76866	0.183842	-1.13435
Nell2	1.52035	0.18386	1.061886815
Sos1	1.55989	0.183915	1.093391451
Gm27002	1.54956	0.183917	1.145168586
Sema6d	-1.5248	0.183925	-1.0739
Gm15049	1.56372	0.18395	1.077367164
Gm15632	-1.50242	0.183954	-1.09821
Actl11	-1.50706	0.184007	-1.07181
n-R5s72	1.88476	0.18402	1.187386816
4930448K20Rik	1.55235	0.184026	1.101676005
Mup2	1.52469	0.184046	1.078338407
Hist1h4a	1.55792	0.184067	1.210556151
4932443L11Rik	-1.50366	0.184123	-1.05045
Xkr4	1.66948	0.184176	1.07590448
Gm20554	1.5727	0.184176	1.090855494
Prrt1	1.50968	0.184194	1.139957469
Plp1	1.51286	0.184197	1.077210353
Fam69a	-1.52063	0.184204	-1.17153
Crp	1.50121	0.184237	1.175007528
Cbln4	1.515	0.184253	1.078854269
Gm16557	1.54164	0.184253	1.113575982
1300002K09Rik	1.50448	0.184278	1.072100387
Mrpl52	1.51718	0.184282	1.051187482
Nphs1	1.50149	0.184314	1.044309975
Armc7	-1.7085	0.184345	-1.0797
n-R5s94	1.51283	0.184353	1.163136166
Gm25922	1.50316	0.184374	1.269754864
4930542C16Rik	1.75039	0.184479	1.241023126
Gm26558	1.49922	0.184497	1.092982271
Rtp4	1.52736	0.184544	1.297055309
Gm16144	1.53266	0.184577	1.233792687
Gm15221	1.5393	0.184582	1.089933413
Gm20275	-1.93911	0.184593	-1.146999999
Mst1r	1.49944	0.184598	1.061930979
Enpp5	1.49876	0.184615	1.083485615
Gm14467	1.52245	0.184639	1.099677127
Gm15453	-1.8375	0.184671	-1.14202
Rhox2b	1.53193	0.184671	1.059306442
4930422M22Rik	1.71636	0.184687	1.106850213
Gtf2i	-1.54203	0.184696	-1.04139
Nfyb	-1.55371	0.1847	-1.06219
Arhgef5	1.50218	0.184703	1.079819369
RP23-279M5.3	1.64557	0.184713	1.130648117
4930529M08Rik	1.54672	0.184714	1.053828426
Mir6368	1.50382	0.184809	1.172022284
Rasa1	-1.60967	0.184837	-1.13935
Vav1	-1.55127	0.18484	-1.08208
9530036M11Rik	1.49769	0.184904	1.195049188
Kdelc2	1.49821	0.184919	1.07434697
Krtap4-9	1.50802	0.184936	1.06507129
Ropn1	1.49752	0.184979	1.079482608
Setd1a	1.61564	0.184982	1.077763027
Gpld1	1.49758	0.184989	1.060254055
Hist1h2ak	-1.89546	0.185001	-1.37315
Il18r1	1.52871	0.185028	1.132075361
Iigp1	1.52002	0.185058	1.17340415
Gm13114	1.62574	0.185134	1.108354967
Gm23668	1.57383	0.185208	1.077538935
Apmap	-1.69292	0.185232	-1.11545
Ubxn6	1.54818	0.185256	1.041779534
1700001J11Rik	1.49731	0.185262	1.134416168
Depdc1b	-1.67636	0.18535	-1.0949
Gm24892	1.49577	0.185389	1.067295746
Gm26397	1.56027	0.185392	1.122487983
Gm11908	1.82766	0.185393	1.16525847
Gm22674	1.52625	0.185407	1.168032162
Spns2	1.52428	0.185424	1.078218822
Mroh8	1.50929	0.185428	1.079213275
Aire	1.50407	0.185464	1.081474763
Gm4925	1.51269	0.185498	1.13632853
Mob3b	1.49957	0.185545	1.101714187
Rnf213	1.50045	0.185545	1.144652751
Gm10406	-1.72782	0.185553	-1.243130001
Olfr811	1.52186	0.185648	1.105064057
LOC434035	-1.94328	0.185658	-2.983420004
E130309D14Rik	1.74465	0.185666	1.110677522
Dlg2	1.54414	0.185691	1.109707918
Gm21875	-1.83346	0.185731	-1.20282
LOC102640855	-1.53532	0.185749	-1.08152
Iscu	1.4966	0.185803	1.037700418
Olfr758-ps1	1.54446	0.185808	1.112002476
Gm2223	-1.52242	0.185813	-1.14305
Phactr3	1.49646	0.185814	1.074846022
Zfp418	1.70227	0.185879	1.189413207
4933409K07Rik	1.88938	0.185945	1.082854946
Zfp189	1.49363	0.185966	1.085229372
Gm16193	1.73742	0.185972	1.101996774
Ccl20	1.49336	0.185974	1.07601635
n-R5s34	1.69218	0.18599	1.156287376
Tex2	-1.575	0.186049	-1.06581
Gm6113	1.54666	0.186061	1.053616614
Myt1	1.49282	0.18612	1.05799294
Ssxb7	1.51581	0.186173	1.105163638
Gm4221	-1.49333	0.186198	-1.14092
Olfr1413	1.71396	0.186236	1.100226075
Magea8	1.72859	0.186246	1.088680031
Tas2r116	1.49636	0.186252	1.129003532
Gpt	1.49522	0.186254	1.055802509
Olfr335-ps	1.61037	0.186303	1.180362506
Gm13113	1.54666	0.186342	1.074995038
Zfp599	-1.54515	0.186362	-1.08225
Gm14591	1.54422	0.186396	1.090840372
4930485B16Rik	1.4917	0.186419	1.035358215
LOC101055632	1.69819	0.186425	1.121896821
H2-T3	1.52679	0.186443	1.052003861
Itih2	1.51323	0.18645	1.058932038
Gm17800	1.63598	0.186454	1.126978506
Olfr720	1.65194	0.186458	1.09121093
Gna11	1.68202	0.186489	1.073706736
Hars2	-1.51021	0.18653	-1.046850001
Anp32b-ps1	-1.51814	0.186553	-1.0735
Trbj1-1	-1.49281	0.186571	-1.07179
Gm23438	1.4955	0.186582	1.081212428
Krt77	1.52204	0.186586	1.05099077
mt-Tv	-1.85935	0.18659	-1.37488
Mir24-2	1.64092	0.186611	1.137077037
Acadsb	1.61439	0.186654	1.089948523
Cct5	-1.49056	0.186683	-1.05433
Gm22531	1.49571	0.186686	1.153685506
Nr4a3	1.49866	0.186704	1.063905492
1700081H04Rik	1.49407	0.186724	1.101546197
Crisp3	1.49119	0.18673	1.05901278
Atg16l2	1.5151	0.18677	1.056754313
Irak4	-1.56562	0.186791	-1.06239
Rimbp3	1.51026	0.186818	1.1508342
Thsd4	1.49038	0.186851	1.066452715
Gm20501	1.68935	0.186914	1.106006604
Trmt10b	-1.66994	0.18692	-1.076630001
Pomc	1.49356	0.18693	1.090008964
Mapkapk5	-1.49274	0.186983	-1.05855
Gm12688	1.54118	0.187005	1.077852676
Gm101	1.48932	0.187035	1.059357841
Txnl1	-1.49841	0.18704	-1.10513
Olfr147	1.49377	0.187107	1.106075602
Gli2	1.53068	0.187122	1.05946799
Akr1c19	1.8521	0.187134	1.082112129
Trav1	1.53281	0.187169	1.112773524
Slc2a1	1.48997	0.187174	1.085251939
1700065O20Rik	1.50596	0.18718	1.118728534
1700021P04Rik	1.4944	0.187208	1.127838112
Barhl1	1.48827	0.187322	1.068709686
Krt26	1.57771	0.187325	1.083065129
Arrdc5	-1.52829	0.187331	-1.0742
Vmn1r10	-1.50986	0.187339	-1.09532
Gm13338	-1.50901	0.187343	-1.05975
Gm20756	1.51405	0.18741	1.086027022
1700045I11Rik	1.48739	0.187473	1.122176806
1700045I11Rik	1.48739	0.187473	1.122176806
AW011738	-1.49183	0.187482	-1.10427
Stx11	1.48743	0.187482	1.124769984
Olfr743	1.48942	0.187487	1.112472752
Gtf2h4	-1.50008	0.187489	-1.02343
Rims4	1.57438	0.187525	1.080912694
Gsta4	-1.53998	0.187588	-1.09774
Hic1	-1.4973	0.187589	-1.07606
Satl1	1.61559	0.187589	1.119170624
Dpy19l2	1.48877	0.187595	1.113722647
Pde4dip	1.55518	0.187598	1.062144462
Numa1	1.49138	0.187618	1.042436858
Polr1e	-1.49929	0.187637	-1.05972
Mcmbp	-1.57519	0.18767	-1.06355
Gm12566	1.50473	0.18767	1.10094317
Rgs10	-1.48689	0.187673	-1.09751
Gm12942	-1.48657	0.187686	-1.067259999
Pgam2	-1.48685	0.187692	-1.12478
Prtg	1.53995	0.187698	1.060842147
Col2a1	1.5492	0.1877	1.065765472
Gm26074	1.50729	0.18771	1.133127341
Bcl11b	-1.48726	0.187718	-1.07
Gm24666	1.71275	0.187721	1.086298055
Cog3	-1.63671	0.18774	-1.08073
Fgf9	1.48646	0.187762	1.07750906
Spin4	1.48638	0.187762	1.086328174
Olfr1252	1.48754	0.187765	1.067695309
Ighv10-3	-1.94658	0.187774	-3.933199994
Mir759	1.48728	0.187821	1.118829346
Trav9n-1	1.51484	0.187842	1.109669459
Dot1l	1.6952	0.187852	1.069272822
Xrcc1	1.52814	0.187906	1.055502503
Car5a	1.48573	0.187913	1.087096491
Armc2	1.67977	0.187939	1.0842895
Nrip2	1.61065	0.187939	1.090530409
2700062C07Rik	-1.55429	0.187966	-1.07005
Magt1	-1.49831	0.187987	-1.09361
Pid1	1.53177	0.188005	1.0339884
1700120G07Rik	1.52299	0.188013	1.08159471
4833447P13Rik	1.56714	0.188099	1.087805029
Gm6899	1.4989	0.188106	1.114649401
6430571L13Rik	1.50205	0.188115	1.119302509
Gm5759	1.53339	0.188176	1.09816893
Rbm46os	1.52706	0.188178	1.042942774
Gm14503	1.49867	0.188195	1.141119594
Ccdc144b	1.49617	0.188199	1.067110814
Spef2	1.57784	0.18822	1.08578616
Map4k1	1.60834	0.188246	1.099928694
Gm10069	1.48819	0.188249	1.145232089
Glra3	1.58182	0.188262	1.092845912
E230025N22Rik	1.49536	0.188316	1.079564918
Lrp6	1.48414	0.188323	1.061916258
Mroh2b	1.48478	0.18833	1.050015045
Gm20793	1.53526	0.188355	1.143716907
Abhd14b	1.51892	0.188379	1.105722989
Nol4	1.57922	0.188403	1.085650699
E430018J23Rik	1.50326	0.18842	1.049411133
Olfr687	1.48839	0.188432	1.131565424
Gm5832	-1.69629	0.188436	-1.218580001
9030204H09Rik	1.48479	0.188444	1.113205545
Fopnl	-1.56943	0.188469	-1.0571
Fam86	1.51672	0.18847	1.113467925
A430072P03Rik	1.62167	0.188473	1.119969932
Kdelc1	-1.52078	0.18848	-1.06266
1700030F04Rik	1.48344	0.188486	1.103992216
Gm15290	1.48725	0.188545	1.136816973
Gm10862	1.52205	0.18858	1.220413463
3830417A13Rik	1.49824	0.188591	1.135887535
Chrna1	1.52656	0.188608	1.087503467
Lrrc16b	1.66836	0.188638	1.076210285
Rinl	1.70485	0.188646	1.111755853
Slc6a4	1.48314	0.188676	1.063190412
Lat	-1.63172	0.188689	-1.16455
Gm12345	-1.51507	0.188707	-1.11619
R3hcc1	1.49792	0.188711	1.0523977
Trpm2	1.49065	0.188715	1.070496442
Ankrd28	-1.55372	0.188724	-1.10018
Cecr5	-1.48249	0.188736	-1.07174
Npb	-1.75875	0.18875	-1.13626
Gm23722	1.48242	0.188766	1.146248622
Pip5kl1	1.52123	0.188806	1.091808626
Fam161b	1.55305	0.188808	1.08259978
Gm3404	-1.49171	0.188826	-1.07894
BC106179	-1.48209	0.188835	-1.06814
Mir290a	1.55403	0.188842	1.145319412
Gm10152	1.76898	0.188843	1.147345583
Slc27a1	-1.83644	0.18887	-1.07747
Vps4a	-1.49431	0.188876	-1.05262
Zfp710	1.50713	0.188879	1.039723561
Gm4575	1.84218	0.188894	1.120932962
Tas2r140	1.51507	0.188894	1.126783232
Nek2	-1.72361	0.188924	-1.185149999
Gm1140	1.48262	0.188958	1.073446284
Gm1140	1.48262	0.188958	1.073446284
Mir6905	1.74941	0.188999	1.126892581
Gm26144	1.4998	0.189044	1.15833295
Sds	1.53565	0.189127	1.083943831
Smarcc2	1.82612	0.189156	1.107387391
Gm17365	1.48088	0.18918	1.168177903
Rarres1	1.55815	0.189181	1.133567263
Gm22590	1.48171	0.189181	1.152278938
Utp6	-1.52746	0.189233	-1.06517
Tmem132cos	1.86915	0.189243	1.122783681
2610034M16Rik	1.49404	0.189255	1.110338834
Acin1	1.49638	0.189257	1.06193834
Cntrob	1.49642	0.189264	1.040091174
Gm5645	1.48404	0.189272	1.192252659
Taco1	-1.48445	0.189279	-1.0799
BC006965	1.52975	0.189281	1.055729329
Plac9a	1.50201	0.189322	1.047245729
Glra4	1.49002	0.189325	1.065041761
Bai2	1.54503	0.189339	1.069087547
Gm11220	-1.50162	0.189376	-1.11178
Tmprss7	1.57799	0.189387	1.100905015
Vmn1r111	1.49903	0.189405	1.068998627
Gm5637	-1.61549	0.189408	-1.12645
Polr3e	-1.49711	0.189418	-1.05975
Aox4	1.51922	0.189455	1.049920434
Tmed7	-1.60167	0.189485	-1.06695
Gm11354	1.79894	0.189496	1.134361128
2610318N02Rik	-1.75984	0.1895	-1.163920001
Gm8624	1.49752	0.18954	1.109538709
Fndc3c1	1.53197	0.189545	1.075725513
Nos1	1.4963	0.189605	1.060187915
Tspan31	-1.58349	0.189617	-1.11493
Tmem98	1.78953	0.189619	1.115716121
Cyb561	1.56541	0.189641	1.060033604
Col4a6	1.48529	0.18966	1.062468449
Plxnb1	1.49375	0.189741	1.074287397
Dynll1	1.53419	0.189765	1.067754516
Fst	1.57516	0.18979	1.087156774
Gm25451	-1.66587	0.189814	-1.2209
Atf7ip	1.64012	0.189861	1.124715411
Gm13786	-1.75422	0.189886	-1.22639
Dock5	-1.78824	0.189893	-1.12117
Mir5709	1.5222	0.189927	1.106152272
Dars2	1.47781	0.189937	1.075039746
Rasa4	1.48142	0.189976	1.050073272
Zfp335	1.48578	0.189993	1.074160816
Emc2	-1.53298	0.189995	-1.06456
Cdc34-ps	1.47909	0.19007	1.031382878
Gm11268	1.66148	0.190081	1.113807568
Rd3l	1.50548	0.190178	1.098496292
H2afj	1.52051	0.190225	1.074168262
Gm2694	1.57332	0.190246	1.086313115
Myom2	1.54637	0.190258	1.060481902
Gm14907	1.50466	0.190311	1.042921087
Gm16379	1.49869	0.190329	1.06665232
Scgb1b20	1.50108	0.190329	1.130420865
Shd	1.53766	0.19038	1.116629054
Olfr1154	-1.66522	0.190404	-1.12494
Gm11271	1.57928	0.190427	1.129653249
Sdf2l1	-1.5341	0.190454	-1.11791
Gm17391	1.49704	0.190459	1.082434704
Gm11196	-1.49565	0.190483	-1.04418
Gm14371	1.52933	0.190488	1.076874406
Mir3967	-1.57286	0.190522	-1.122199999
Gm24368	1.49108	0.19053	1.089450011
Arl6	1.56382	0.190536	1.128768787
4933436E23Rik	1.51415	0.19055	1.064982704
Zfp939	1.5026	0.19055	1.080583082
Vmn2r103	-1.80242	0.190569	-1.11633
n-R5s48	1.50546	0.190588	1.173339085
Rnf138	-1.48103	0.190614	-1.07183
Bbc3	1.49466	0.190663	1.122487983
Gm11550	1.48739	0.19067	1.139933765
4632411P08Rik	1.66774	0.190675	1.176613097
Otor	1.47508	0.19068	1.114773027
Gm10029	1.48661	0.190689	1.046766747
Gm20814	1.49537	0.190719	1.124473763
Alx1	1.52067	0.190738	1.091823761
Syndig1	1.8002	0.19077	1.121173849
1700024I08Rik	1.54028	0.190785	1.07973704
Prss27	1.55051	0.1908	1.085560401
Ctnna3	1.5227	0.190806	1.0726207
Vmn2r-ps115	-1.47511	0.190822	-1.0813
Brd1	-1.47771	0.190835	-1.046850001
Gm24341	1.53024	0.190838	1.151129386
Gm24500	-1.50688	0.19085	-1.148750001
Sh3bp5l	1.48015	0.190859	1.059989519
Gm23328	1.51076	0.190867	1.179683625
Adhfe1	1.59742	0.190871	1.07582245
Grid2ip	1.56785	0.190876	1.057553024
Ddah2	1.54205	0.190878	1.069391415
Gm10000	1.50506	0.190887	1.139522965
Hnf1b	1.47882	0.190909	1.049643925
Pdap1	-1.60645	0.190915	-1.0578
Gm12062	1.49935	0.190952	1.104413172
Pax4	1.68428	0.190958	1.089646367
Aqp7	1.56535	0.190977	1.080725402
Igkv1-122	-1.78493	0.190987	-2.504340002
Tunar	1.51797	0.190993	1.055751283
Mir688	1.73546	0.190996	1.118837101
1700125H03Rik	1.51947	0.19101	1.046759492
Fam189a2	1.6384	0.191052	1.085703376
Mirlet7k	1.5048	0.191075	1.154741559
4933409D19Rik	1.50992	0.191108	1.120505709
Nr2f6	1.47297	0.191188	1.038124879
Gm25361	1.50736	0.191216	1.127455115
Foxn1	1.48769	0.191218	1.085161674
Syt5	1.56665	0.191231	1.078839313
Col5a2	1.47347	0.191241	1.065307557
Trav4n-3	-1.47435	0.191251	-1.07093
Gm4297	1.47786	0.191255	1.069969743
Tiprl	-1.56539	0.19126	-1.05332
n-R5s68	1.47407	0.191269	1.125159867
Selenbp1	1.47588	0.191281	1.096305591
Gm14811	1.66233	0.191281	1.148149097
Gm14073	1.71469	0.191288	1.169498491
Defa24	1.5554	0.191301	1.087036211
Pgm5	1.58079	0.191302	1.086915662
Epha2	1.53215	0.19131	1.087405477
Gm12819	1.53735	0.191328	1.150052722
5430425K12Rik	1.52844	0.191346	1.091422734
Gm12363	-1.65169	0.191386	-1.14642
Klri1	1.47251	0.191394	1.103540823
Ppp2r3d	1.61629	0.191413	1.136171012
AA387883	1.6229	0.191414	1.126939448
Tango6	1.62768	0.191428	1.051865324
Col6a5	1.47326	0.191469	1.093558197
Gm15949	1.75979	0.191496	1.080111313
Ptx3	1.49274	0.191551	1.109407974
Gipc2	1.47183	0.191595	1.046962668
Gm26262	1.51854	0.191608	1.110138748
Gm14816	1.47335	0.191665	1.082434704
Tmsb4x	-1.54239	0.191675	-1.08377
4930579M01Rik	1.471	0.191699	1.085297074
Pax1	1.47633	0.191742	1.057523703
Smim13	-1.68488	0.191752	-1.09604
Nhp2	-1.5056	0.19176	-1.0496
Mir193a	-1.50085	0.191795	-1.0979
Gm21792	-1.69421	0.191801	-1.13067
Rp31-ps19	-1.47057	0.191815	-1.02487
Epha6	1.55961	0.19186	1.051879906
Gm24963	1.50073	0.191903	1.094817196
Gm5382	1.53848	0.191918	1.118899144
Crocc	1.47577	0.192009	1.069799178
Mir7024	1.53303	0.192019	1.081369822
Terc	1.67825	0.192139	1.068894896
Prpf4	-1.50114	0.192164	-1.09031
Lrfn2	1.60766	0.192185	1.151632174
Gtse1	-1.87724	0.192198	-1.18549
Gm11574	-1.80938	0.192202	-1.06336
Cchcr1	1.56998	0.192202	1.050131502
Gm14716	-1.52881	0.192208	-1.1646
B930094E09Rik	1.68292	0.192237	1.112495885
Gm13652	1.74745	0.19227	1.116915467
Tspan17	-1.50128	0.192277	-1.0911
Tbc1d25	1.73293	0.192286	1.148316234
Rcan2	1.54254	0.192292	1.116714196
Hsd17b4	-1.48378	0.192297	-1.07141
Mmp21	1.49437	0.192329	1.073803491
Mir154	-1.47186	0.192377	-1.13967
9930014A18Rik	1.5537	0.192415	1.057435744
Gm22223	1.56493	0.192447	1.27715179
Fam24a	1.4681	0.192473	1.087887973
Olfr1273-ps	-1.54339	0.192573	-1.139749999
Cdca7l	-1.57654	0.192663	-1.05489
Gm23980	1.46881	0.19267	1.148563006
Mptx2	1.49662	0.192673	1.108040028
Neurod2	1.54377	0.192734	1.123126165
Gm23163	1.46747	0.192737	1.072457146
Ttll8	1.7479	0.192744	1.046781259
Gm13425	1.46784	0.192749	1.114046923
Plod1	1.47675	0.19275	1.079766977
Zfp697	1.61514	0.192774	1.093020152
Crisp1	1.5064	0.192874	1.089608604
Mir450-2	1.4892	0.192875	1.147838762
Myo10	-1.50328	0.192936	-1.07972
Gm22760	1.60916	0.192975	1.088129301
Pdzd4	1.50952	0.192986	1.068339364
Cyp4a10	1.64462	0.193005	1.11823236
Srpk1	-1.46689	0.193034	-1.08335
Mbd3	1.46918	0.193045	1.069613812
Gm24664	1.51937	0.193053	1.100088812
Olfr705	1.56587	0.193094	1.075457117
AI414108	1.53593	0.193107	1.106182942
Cirbp	-1.61259	0.193132	-1.06125
Nek1	1.46553	0.193151	1.088853606
Gabra4	1.50421	0.193155	1.091475691
Gm15882	1.46766	0.193181	1.093952427
6430573F11Rik	1.54733	0.193201	1.038218428
Col4a3	1.49818	0.193207	1.083523167
C130023O10Rik	1.48187	0.193214	1.214531577
Ankrd22	1.48957	0.193299	1.067029454
Pyroxd2	1.49052	0.193308	1.063706401
Upk3b	1.59336	0.193316	1.099677127
Ehd1	1.46719	0.19332	1.053821121
Vmn1r11	1.60053	0.193334	1.111663384
Gnl3	-1.47842	0.193389	-1.045940001
BC037032	1.52202	0.193398	1.118891389
Lrrc27	1.46662	0.1934	1.047862922
Crb2	1.59796	0.193402	1.079512538
Rpl15	1.5032	0.193424	1.062063481
4930543D07Rik	1.5182	0.19343	1.091165549
Gpx2	-1.61484	0.19351	-1.08781
Mrgpra6	1.47561	0.193519	1.121189392
Gm10655	1.57793	0.193533	1.113197829
Gm23979	1.5445	0.193543	1.201477807
Traf4	1.7758	0.193555	1.097963428
Rhox4e	1.52351	0.193576	1.112596136
Gm12774	1.46648	0.193644	1.068287529
Gm25785	1.46442	0.193647	1.12314952
Lekr1	1.53103	0.193651	1.075561485
Gm20031	-1.72066	0.19366	-1.13472
Gm21425	1.47145	0.193672	1.194850401
Gm20772	1.47145	0.193672	1.194850401
D630029K05Rik	1.60189	0.193717	1.066001893
Slc8a2	1.68887	0.19373	1.119364578
Gm7916	1.75469	0.193831	1.138109998
Arid3c	1.46555	0.193847	1.101263725
Gm15019	1.46321	0.19389	1.077344761
Gm12161	-1.65132	0.193893	-1.05177
G6pc3	1.47177	0.193902	1.068924532
Gm17266	1.47835	0.193934	1.058499069
2010300C02Rik	1.46689	0.193979	1.094407483
Vmn1r-ps110	1.48246	0.193987	1.164660929
Tada2a	1.46224	0.193999	1.064731749
Sox3	1.53632	0.19402	1.160004177
Olfr683	1.5271	0.194035	1.16927964
9230104M06Rik	1.53313	0.194076	1.080860249
Gm10104	1.46634	0.194095	1.112896942
Gm14208	1.59688	0.194109	1.14719449
Fn3k	1.46167	0.194148	1.116729677
Cdk5rap1	-1.50726	0.194153	-1.08598
Olfr374	1.50578	0.194213	1.088121758
Sh2d1a	-1.46277	0.194245	-1.10369
Rfx3	1.5176	0.194279	1.060842147
Cym	1.46717	0.194302	1.066253147
Zfp541	1.46106	0.194304	1.08953308
Gm19501	1.46114	0.194316	1.105761311
Vps37d	1.48836	0.194318	1.05655656
Ppp1r36	1.48482	0.194325	1.108285827
Gm26652	1.46337	0.194337	1.0906438
Gm12106	1.52862	0.194377	1.100645595
Sar1a	-1.46067	0.194416	-1.059180001
Gm26509	1.60936	0.194429	1.175496302
Ddx41	1.46056	0.194436	1.055034371
Gm19583	1.46775	0.194597	1.16808074
Catip	1.46608	0.194605	1.056329556
Slc30a4	1.48369	0.194627	1.125487474
Tom1	-1.6599	0.194631	-1.10779
Gm24972	1.47572	0.194669	1.100683741
Gm12146	1.47728	0.194695	1.070919472
Tmem158	1.50674	0.194738	1.081497252
Rtfdc1	-1.46219	0.19474	-1.06324
D830024N08Rik	1.47146	0.194763	1.09847345
Mir7224	1.48307	0.194832	1.337287815
Gm25223	-1.57453	0.194867	-1.07625
Gm5757	-1.71847	0.194884	-1.13844
LOC545964	1.74321	0.194929	1.134911657
Ptgfrn	1.47478	0.194945	1.1189069
Mir880	1.4586	0.194958	1.033687427
Gm5523	1.70851	0.194967	1.146622107
Gm8318	1.61998	0.195019	1.119985458
Spdyb	1.50803	0.195035	1.103632617
Mir7027	1.46363	0.195035	1.176246149
Ppp1r3e	1.49777	0.195036	1.169660629
Gm23617	1.50469	0.195073	1.074503364
Gm10790	1.51913	0.195143	1.083981399
Gm14091	1.52021	0.195147	1.061563005
Nub1	1.85479	0.19515	1.102951995
Chek1	-1.47993	0.195182	-1.0812
Gm9146	1.6001	0.19522	1.073290044
Gm17798	1.45748	0.195256	1.046396775
Gm25917	1.47613	0.19528	1.291788606
Gm23768	1.45917	0.195282	1.169595771
Neto2	-1.48123	0.195288	-1.07692
2410012E07Rik	1.46085	0.195333	1.142758064
C77370	1.57662	0.195396	1.069858502
Npm1	-1.63914	0.195422	-1.08616
Scgb2b20	1.48359	0.195425	1.122573572
Mir669p-2	-1.47384	0.195426	-1.06173
Mir669p-1	-1.47384	0.195426	-1.06173
Gm24263	1.49746	0.195429	1.103548472
Gm4981	1.65193	0.195501	1.118441656
Nrxn2	1.59407	0.195563	1.081129993
Gm22661	1.72319	0.195574	1.153349692
Gm14623	1.54034	0.195637	1.099174165
Gm22632	1.53792	0.195643	1.125050686
Gm24926	1.53792	0.195643	1.125050686
Pkd2l2	1.45598	0.195669	1.057802287
Cst3	1.46096	0.195679	1.11106252
Gm15704	1.45719	0.195719	1.099265595
Tmx1	-1.6061	0.195758	-1.09647
Ntn4	1.48216	0.195774	1.045802193
4930474H06Rik	1.79226	0.195836	1.134431895
Gm11718	-1.48267	0.195884	-1.11323
n-R5s52	-1.50398	0.195903	-1.10873
Gm17037	1.4561	0.195928	1.100882123
Gm25308	1.64862	0.195946	1.20334473
n-R5s9	1.54781	0.19595	1.230018488
Gm5643	-1.51891	0.195989	-1.09319
Ildr2	1.56214	0.19602	1.112711821
Dio3	1.47141	0.196034	1.058829283
Olfr1226	1.45452	0.196038	1.074622537
Igkv8-16	-1.71721	0.196076	-1.76521
Cyp2c29	1.52409	0.196104	1.051712224
Zfyve27	1.50696	0.196112	1.024223098
Gipc3	1.72399	0.196117	1.139112313
Coa4	1.47003	0.19614	1.064790792
2700094K13Rik	-1.59148	0.196147	-1.06744
Wt1	1.46296	0.19617	1.054179104
Gm24519	1.51405	0.196171	1.16761933
4930500F04Rik	1.46502	0.196197	1.042545248
Lats1	1.68207	0.196207	1.063367295
Gm8349	1.86335	0.196207	1.120544544
Apob	1.45858	0.196223	1.057589677
Gm22345	1.45532	0.196242	1.22858698
Ankrd34b	1.45387	0.196274	1.083050114
Ppargc1b	1.52152	0.196277	1.074756622
Prdm16	1.52731	0.196299	1.062932512
Hoxa11os	1.48887	0.196331	1.059152259
Ifitm5	1.45604	0.196359	1.106175274
Rora	1.50015	0.19636	1.140313096
Gm25153	1.48263	0.19638	1.091452995
Arhgap23	1.53385	0.196402	1.090122301
Tdrd1	1.4543	0.196424	1.067266155
Gm26711	1.51634	0.196433	1.149040779
Dennd2c	1.53432	0.196463	1.087473315
Kmt2b	1.54882	0.196489	1.090923547
Ropn1l	-1.58811	0.196536	-1.087289999
Lama3	1.46805	0.196543	1.054047586
Olfr260-ps1	1.4532	0.196555	1.060018909
Gm12606	1.45681	0.196555	1.080358405
Gm9286	-1.45985	0.196556	-1.06056
Nlrp9b	1.45752	0.196565	1.08689306
Tgfb3	-1.79304	0.19657	-1.308779999
Olfr308	1.68314	0.196572	1.046512831
Fancm	-1.45308	0.196579	-1.05762
