gene_name,B6-1-Tfh,B6-2-Tfh,B6-3-Tfh,B6-4-Tfh,B6-1-Tn,B6-2-Tn,B6-3-Tn,B6-4-Tn
Bcl2l2,389,323,317,317,62,52,57,60
Bcl3,1638,1250,1426,1240,1623,1007,1235,1076
Bcl6,4406,3736,4382,4713,630,709,572,645
Bcl6b,9,5,1,4,2,0,1,1
Bcl7a,687,647,631,680,656,546,521,636
Bcl7b,1012,1247,1102,1061,1403,1266,1272,1164
Bcl7c,405,389,402,393,200,151,179,163
Bcl9,1126,879,966,827,1513,1185,1136,1152
Bcl9l,1532,1687,1546,1700,3827,2934,3237,3652
Bclaf1,4575,4520,4841,4774,4940,4766,4839,5073
Bco2,48,30,16,18,0,1,0,0
Bcor,5844,4527,5526,4895,3902,3008,2969,3363
Bcorl1,221,238,222,273,567,503,522,605
Bcr,1235,1287,1241,1277,680,672,706,813
Bcs1l,163,191,172,217,239,239,237,203
Bdh1,844,894,836,842,1261,994,1041,1088
Bdh2,7,7,11,8,0,0,1,0
Bdnf,0,0,0,0,0,0,0,0
Bdp1,1891,1455,1795,1631,2520,2280,1903,2275
Becn1,2671,2875,2726,2937,2872,2635,2611,2824
Begain,5,14,15,14,33,30,26,28
Bend3,398,297,330,314,318,238,194,218
Bend4,11,5,10,19,11,16,6,11
Bend5,1,3,3,3,91,67,63,43
Bend6,24,20,41,19,37,29,12,21
Bend7,0,0,0,0,0,0,1,0
Best1,2,3,2,1,0,0,0,0
Best2,0,0,1,0,0,0,0,2
Best3,0,0,0,0,0,0,0,0
Best4-ps,0,0,0,0,0,0,0,0
Bet1,377,379,353,322,317,301,249,227
Bet1l,697,885,710,700,629,599,646,602
Bex1,0,0,0,0,0,0,0,0
Bex2,16,50,40,24,2,8,0,6
Bex4,0,0,0,0,0,0,0,0
Bex6,0,0,0,0,0,0,0,1
Bfar,1342,1398,1381,1342,1542,1325,1337,1389
Bfsp1,0,2,0,0,0,0,0,0
Bfsp2,0,1,0,0,14,7,4,7
Bglap,1,0,0,0,1,0,0,0
Bgn,0,0,1,0,0,0,0,0
Bhlha15,3,3,2,1,0,1,1,4
Bhlha9,0,1,1,0,0,0,0,0
Bhlhb9,888,848,847,851,515,479,460,469
Bhlhe40,6026,3950,5867,3764,48,29,41,39
Bhlhe41,19,32,32,11,1,0,1,1
Bhmt,0,0,0,0,0,0,0,0
Bicc1,0,0,0,0,0,0,0,0
Bicd1,278,220,221,213,2,0,3,3
Bicd2,1003,1067,1107,1131,1431,1382,1347,1530
Bid,589,632,652,602,315,334,311,349
Bik,26,35,19,20,15,12,9,12
Bin1,1763,2248,1722,2026,2618,2281,2299,2286
Bin2,7065,8234,7168,7404,8137,6766,7387,7274
Bin3,1061,1143,1096,1035,860,759,761,798
Birc2,2651,2453,2429,2355,2064,1768,1822,1757
Birc3,2510,2250,2457,2172,2883,2071,2184,1977
Birc5,58,59,45,48,11,16,15,23
Birc6,10663,7899,9697,9908,15226,12553,10773,14054
Bivm,537,562,531,523,278,200,246,245
Blcap,520,517,521,485,409,344,347,342
Blk,24,6,10,10,0,0,1,0
Blm,229,219,194,194,402,303,255,247
Blmh,1613,1715,1604,1518,898,793,734,797
Blnk,3,7,6,4,2,1,0,0
Bloc1s1,36,33,32,36,20,20,27,21
Bloc1s2,341,390,349,351,315,277,269,264
Bloc1s2-ps,1,3,0,3,2,3,0,0
Bloc1s3,227,266,242,226,224,218,221,245
Bloc1s4,209,243,208,188,203,208,210,172
Bloc1s5,338,358,334,319,274,203,210,195
Bloc1s6,916,989,906,927,869,700,730,770
Bloc1s6os,3,5,3,5,6,5,5,2
Blvra,471,565,440,456,428,429,412,435
Blvrb,61,62,60,64,83,81,104,116
Blzf1,314,293,289,324,318,271,266,313
Bmf,364,171,503,375,155,47,115,127
Bmi1,2017,2103,2049,1962,1540,1359,1373,1402
Bmp1,69,36,62,51,1,1,1,2
Bmp10,0,0,0,0,0,0,0,0
Bmp2,0,0,0,2,0,0,0,0
Bmp2k,1150,1088,1178,1244,783,738,648,817
Bmp4,0,0,0,0,0,0,0,0
Bmp5,0,0,0,0,0,0,0,0
Bmp6,2,0,1,1,0,0,1,0
Bmp7,1457,1385,1363,1414,45,15,19,25
Bmp8a,1,0,1,3,0,0,1,0
Bmp8b,0,0,0,0,0,0,0,0
Bmper,3,0,0,0,0,0,0,0
Bmpr1a,171,180,205,167,167,212,240,198
Bmpr1b,0,0,1,0,0,0,0,0
Bmpr2,1118,813,1118,818,231,167,137,179
Bms1,2058,2083,2034,2012,2447,2266,2320,2439
Bmx,0,1,0,0,0,0,0,1
Bmyc,760,778,740,595,286,284,297,248
Bnc1,0,0,0,0,0,0,0,0
Bnc2,0,0,0,0,0,0,0,0
Bnip1,423,378,336,353,301,306,291,310
Bnip2,1610,1695,1638,1645,1768,1690,1602,1662
Bnip3,83,102,100,82,88,81,65,63
Bnip3l,2290,2642,2371,2371,2483,2241,2184,2121
Bnipl,2,2,1,3,13,5,8,7
Boc,60,38,52,42,0,0,0,0
Bod1,235,279,236,235,231,234,249,246
Bod1l,3262,2358,3065,2952,3592,3257,2901,3191
Bok,0,0,0,0,0,0,0,0
Bola1,117,158,87,108,132,119,114,118
Bola2,393,475,394,398,737,712,781,658
Bola3,373,436,329,346,359,321,307,280
Boll,7,7,6,3,37,36,28,35
Bop1,1395,1726,1400,1474,1795,1715,1612,1828
Bora,228,217,168,205,154,166,170,188
Bpgm,874,835,862,724,588,450,500,411
Bphl,322,356,293,298,420,289,303,274
Bpi,0,0,2,0,0,0,0,0
Bpifa6,0,0,1,0,0,0,0,0
Bpifb2,0,0,0,0,0,0,0,0
Bpifc,1,1,0,1,0,0,0,0
Bpnt1,138,185,156,152,410,358,370,451
Bptf,6097,5038,5832,5782,7924,6949,6407,7333
Braf,1290,914,1137,1088,1217,969,881,1007
Brap,2177,2267,2151,2302,2404,2033,2124,2327
Brat1,861,908,872,845,1221,1050,1019,1133
Brca1,128,99,130,125,80,96,76,59
Brca2,221,133,158,139,189,111,107,105
Brcc3,842,829,750,799,904,763,707,737
Brd1,2555,2413,2718,2487,3393,3090,3007,3118
Brd2,9784,9710,10185,9584,10872,9073,9343,9390
Brd3,1108,977,1118,1143,1279,1135,1078,1156
Brd4,5046,4898,5386,5422,5185,4684,4760,5476
Brd7,1272,1375,1229,1409,1754,1542,1519,1543
Brd8,3112,2883,2941,2943,1982,1881,1794,1947
Brd9,1214,1334,1240,1333,1119,1027,1044,1115
Brdt,45,29,30,39,168,116,95,108
Bre,760,765,695,768,798,661,734,695
Brf1,1560,1474,1518,1613,1932,1782,1787,2157
Brf2,205,231,220,223,205,172,182,177
Bri3,121,181,145,117,186,185,175,206
Bri3bp,734,745,625,640,823,655,687,667
Bricd5,4,6,0,5,4,3,9,12
Brinp2,0,0,0,0,0,0,0,0
Brip1,39,32,45,41,60,43,35,73
Brip1os,1085,1112,1008,1051,1176,901,905,919
Brix1,761,874,771,762,1067,901,924,937
Brk1,2411,2898,2504,2573,2501,2326,2256,2209
Brms1,957,1122,902,925,872,813,825,774
Brms1l,430,363,412,397,534,417,457,429
Brox,975,846,927,798,801,718,681,751
Brpf1,1669,1708,1663,1672,2166,2061,1947,2105
Brpf3,1015,932,991,1087,999,970,1134,1229
Brs3,0,0,0,0,0,0,0,0
Brsk1,13,16,7,4,0,1,0,0
Brsk2,0,1,1,1,2,1,0,1
Brwd1,2141,1613,1967,1965,2787,2363,2189,2600
Brwd3,921,653,834,831,1036,833,788,867
Bscl2,1392,1648,1458,1365,1121,1006,1140,1083
Bsdc1,1375,1370,1342,1325,1281,1140,1184,1169
Bsg,2401,2851,2530,2503,2011,1914,2046,1953
Bsn,49,48,29,50,68,63,49,39
Bspry,221,196,177,123,4,6,2,1
Bst1,5,3,5,5,2,2,1,1
Bst2,485,766,500,604,837,1047,971,1079
Btaf1,2006,1739,1968,2035,2496,2417,2173,2586
Btbd1,828,913,943,933,897,870,790,890
Btbd10,397,447,450,459,358,402,379,373
Btbd11,1228,1297,1163,1262,704,734,701,700
Btbd16,141,122,107,101,7,6,7,11
Btbd17,3,2,2,1,1,0,5,3
Btbd18,0,0,0,0,0,0,0,0
Btbd19,1058,1032,969,904,455,451,400,444
Btbd2,1041,1156,1059,1115,838,821,779,706
Btbd3,0,1,0,0,3,0,2,1
Btbd6,842,1001,876,919,928,784,809,792
Btbd7,785,608,831,760,1051,880,755,903
Btbd8,29,10,13,15,13,11,4,6
Btbd9,1000,883,939,861,813,642,657,663
Btc,6,6,5,9,23,31,28,16
Btd,634,571,648,557,373,341,332,315
Btf3,2659,3391,2824,2814,3988,3956,3746,3382
Btf3l4,234,262,207,217,318,218,199,203
Btg1,13759,15611,14941,14265,18261,16809,16021,16530
Btg1-ps2,0,0,0,0,0,0,0,0
Btg2,6369,6340,6255,6827,7188,5404,5499,5819
Btg3,19,12,16,11,19,11,5,8
Btk,10,10,13,6,12,12,11,9
Btla,7082,6397,6610,6319,3040,2910,2791,2830
Btn1a1,0,0,1,0,1,0,0,0
Btn2a2,0,0,0,0,0,0,0,0
Btnl1,0,0,0,0,0,0,0,0
Btnl10,0,0,1,0,0,0,0,0
Btnl2,2,1,3,2,11,11,8,16
Btnl4,1,1,0,0,0,0,0,0
Btnl5-ps,1,2,1,2,0,0,0,0
Btnl6,0,3,4,2,0,0,1,0
Btnl7-ps,329,250,315,315,28,32,47,31
Btnl9,3,1,0,0,0,0,0,1
Btrc,617,546,512,487,446,356,354,362
Bub1,25,19,21,20,1,2,1,2
Bub1b,180,98,112,163,51,11,35,41
Bub3,1776,2113,1943,1904,1962,1865,1798,1870
Bud13,431,465,481,485,524,507,497,529
Bud31,1001,1180,1033,1138,1179,1069,1213,1125
Bves,0,0,0,0,0,0,0,0
Bvht,0,0,0,0,1,0,0,0
Bysl,332,400,300,347,821,863,864,847
Bzrap1,8296,5482,5520,3984,73,80,65,63
Bzw1,5545,5805,5516,5423,8023,6751,6584,6756
Bzw2,2512,3140,2332,2781,3591,3518,3500,3517
C030005K06Rik,8,1,7,0,0,0,0,0
C030010L15Rik,2,2,0,1,0,2,1,2
C030013C21Rik,2,0,0,0,0,0,0,0
C030013D06Rik,21,3,11,6,13,16,8,11
C030014I23Rik,2,6,1,4,1,2,0,0
C030034I22Rik,85,96,77,94,182,180,180,193
C030034L19Rik,395,497,456,663,0,8,2,4
C030037D09Rik,40,56,45,53,16,13,19,19
C030039L03Rik,137,114,103,119,83,51,56,68
C130012C08Rik,0,0,0,0,0,0,0,0
C130021I20Rik,2,1,1,2,0,0,0,0
C130026I21Rik,96,106,123,141,101,147,138,127
C130036L24Rik,70,68,76,71,196,146,143,131
C130046K22Rik,39,31,35,32,35,36,26,28
C130050O18Rik,2,2,0,1,4,3,0,1
C130060C02Rik,11,6,8,4,0,0,0,0
C130074G19Rik,0,0,0,0,0,0,0,0
C130089K02Rik,0,0,0,0,0,0,0,0
C1d,662,737,615,614,637,568,559,511
C1galt1,756,545,651,612,1079,878,753,967
C1galt1c1,332,316,303,300,355,325,313,305
C1qa,3,0,6,2,0,0,1,0
C1qb,5,4,4,5,2,1,0,0
C1qbp,797,927,778,796,1404,1353,1282,1390
C1qc,5,3,6,2,1,0,1,0
C1ql1,1,1,1,3,0,0,0,0
C1ql2,0,0,0,0,0,0,0,0
C1ql3,1,3,3,3,1,1,1,1
C1ql4,0,0,0,0,0,0,0,0
C1qtnf1,0,0,0,1,0,0,0,0
C1qtnf4,44,47,37,43,29,30,7,11
C1qtnf6,328,382,396,298,14,19,9,12
C1qtnf9,9,11,11,17,9,1,10,13
C1ra,16,7,15,13,0,0,3,0
C1rl,2,0,0,0,0,0,0,0
C1s1,1,1,1,0,0,0,0,0
C1s2,2,2,0,0,1,0,2,1
C2,11,7,9,7,7,8,8,13
C230012O17Rik,0,1,3,1,0,0,0,0
C230014O12Rik,0,0,1,0,1,0,1,0
C230024C17Rik,25,10,8,12,0,0,1,0
C230035I16Rik,2,1,0,2,0,1,0,0
C230037L18Rik,94,91,91,106,110,119,95,104
C230038L03Rik,0,0,1,1,1,3,4,0
C230052I12Rik,293,311,301,298,249,274,237,248
C230062I16Rik,16,6,9,10,19,13,9,16
C230066G23Rik,2,0,1,1,1,1,2,3
C230085N15Rik,2,0,1,3,79,46,50,56
C2cd2,621,526,542,492,293,260,255,263
C2cd2l,404,433,410,436,687,531,563,631
C2cd3,2696,2528,2735,2717,2772,2399,2349,2600
C2cd4a,1,0,0,0,0,0,0,0
C2cd4b,38,35,44,33,2,0,0,0
C2cd4c,0,0,0,0,0,0,0,0
C2cd5,3005,2657,2961,2800,1785,1547,1445,1485
C3,720,214,702,292,2,8,0,4
C330006A16Rik,559,689,565,606,812,643,679,711
C330007P06Rik,781,768,730,671,649,578,522,544
C330011M18Rik,56,50,58,54,74,64,51,56
C330013E15Rik,24,15,10,10,16,8,9,9
C330013J21Rik,5,10,12,7,10,11,4,8
C330018A13Rik,0,0,0,0,3,0,1,0
C330018D20Rik,235,262,247,251,238,204,211,222
C330019F10Rik,0,1,0,0,0,0,0,0
C330021F23Rik,0,0,0,0,0,0,0,0
C330022C24Rik,0,0,0,0,0,0,1,0
C330027C09Rik,185,147,132,125,90,69,70,46
C3ar1,0,0,0,0,0,0,0,0
C430002N11Rik,33,35,28,40,13,16,10,13
C430014B12Rik,1,3,1,3,3,1,3,2
C430042M11Rik,11,8,8,6,0,1,0,1
C430049B03Rik,0,0,0,0,0,0,0,0
C4a,34,23,28,19,26,20,20,29
C4b,1,1,0,0,0,0,0,0
C4bp,0,0,0,0,0,0,0,0
C4bp-ps1,0,0,0,0,0,0,0,0
C530005A16Rik,17,18,13,17,5,9,4,14
C530008M17Rik,121,70,124,142,105,65,75,74
C530043A13Rik,1,0,0,0,0,0,0,0
C530050E15Rik,82,73,81,91,7,14,17,13
C5ar1,1,5,0,0,0,1,0,0
C5ar2,0,0,0,0,0,0,0,1
C6,1,0,0,0,0,0,0,0
C630004M23Rik,4,1,2,1,3,3,3,6
C630043F03Rik,0,1,1,0,10,9,13,10
C7,0,1,1,1,0,0,0,0
C730034F03Rik,16,21,11,24,14,17,14,37
C730036E19Rik,0,0,1,0,0,0,0,0
C77080,25,26,26,24,6,2,1,1
C77370,1,0,0,1,0,0,0,0
C78197,35,52,27,38,4,1,5,3
C78334,0,0,0,0,0,0,0,0
C78339,1510,1403,1507,1468,940,898,856,1027
C87436,562,583,566,527,695,550,609,608
C8g,13,11,18,9,12,9,3,9
C920006O11Rik,85,110,94,94,118,84,82,69
C920009B18Rik,440,328,340,320,422,323,342,367
C920021L13Rik,9,7,4,6,10,12,8,7
C920025E04Rik,339,372,355,386,257,258,275,240
CAAA01077340.1,0,0,0,0,0,0,0,0
CAAA01154573.1,1,3,1,1,0,1,0,2
CH25-194I22.2,0,0,0,0,0,0,0,0
CH25-194I22.4,0,0,0,0,0,0,0,0
CH36-12I15.2,56,74,72,45,0,0,0,0
CH36-12I15.3,61,72,88,50,1,0,0,0
CN725425,0,0,0,0,0,0,0,0
Caap1,221,268,202,212,275,240,207,211
Cab39,6897,6782,6486,6603,5899,5746,5300,5704
Cab39l,878,1059,868,867,1284,1050,989,938
Cabin1,3641,3565,3572,3423,3869,2982,3088,3134
Cables1,27,43,22,26,0,2,2,1
Cables2,1237,1260,1308,1342,933,847,864,1000
Cabp1,15,7,7,4,12,12,12,9
Cabp4,4,2,5,8,2,2,1,0
Cabp5,1,0,0,0,0,0,0,0
Cabp7,10,9,9,6,0,0,0,0
Cabyr,0,2,1,1,11,9,9,13
Cacfd1,891,805,829,827,979,824,822,822
Cachd1,3,4,1,1,0,0,1,0
Cacna1a,224,217,209,189,118,126,114,90
Cacna1b,7,9,9,5,1,2,4,2
Cacna1c,0,0,0,0,0,0,0,0
Cacna1d,3309,2413,3307,2297,8,11,4,2
Cacna1e,52,18,35,24,1,1,1,0
Cacna1f,4,2,1,2,0,0,0,1
Cacna1g,180,91,205,124,1,0,0,0
Cacna1h,3,1,1,0,0,0,0,0
Cacna1i,4,2,0,0,0,9,1,2
Cacna1s,142,135,142,128,0,0,0,0
Cacna2d1,1,0,1,1,0,0,0,0
Cacna2d2,49,33,37,26,74,65,49,56
Cacna2d3,0,0,1,0,0,0,0,0
Cacna2d4,660,703,681,623,805,695,723,680
Cacnb1,355,413,347,423,485,447,451,531
Cacnb2,0,2,3,4,7,3,7,3
Cacnb3,11,17,8,15,271,358,321,374
Cacnb4,1,1,0,0,5,3,1,1
Cacng2,0,0,0,0,0,0,0,0
Cacng3,0,0,0,0,0,0,0,0
Cacng4,8,1,6,7,0,0,0,0
Cacng5,0,0,0,2,0,0,0,0
Cacng6,0,1,0,1,0,0,0,0
Cacng7,35,41,61,20,0,0,0,0
Cacng8,56,54,53,33,0,0,0,0
Cactin,1064,1174,1072,1087,1363,1293,1290,1314
Cacul1,1432,1318,1402,1305,1478,1323,1291,1377
Cacybp,894,1284,1138,1291,1278,1305,1340,1541
Cad,1320,1310,1287,1277,1921,1831,1682,1895
Cadm1,1,0,1,2,0,1,1,0
Cadm2,0,0,0,0,0,0,0,0
Cadm3,0,0,0,0,1,1,2,3
Cadm4,2,1,2,0,6,1,3,6
Cadps,1,2,1,1,0,0,0,0
Cadps2,1,0,3,1,1,0,0,0
Cage1,38,24,27,21,24,17,10,15
Calb2,1,0,0,0,0,0,0,0
Calca,0,3,1,1,0,0,0,0
Calcb,1,0,0,0,0,0,0,0
Calcoco1,2193,1943,2050,2002,1410,1119,1089,1164
Calcr,6,3,1,0,0,0,0,0
Calcrl,778,729,680,595,1419,1211,1205,1285
Cald1,2,0,2,0,0,0,0,0
Calhm1,0,0,0,0,0,0,0,0
Calhm2,632,696,678,690,188,166,160,152
Calm1,9518,12164,10391,10523,13557,12165,12223,13163
Calm2,4294,4782,4221,4052,3475,3036,3016,2913
Calm3,4828,5542,4858,4864,3987,3537,3478,3399
Calml4,0,0,0,0,1,0,0,0
Calr,11743,13560,12088,12287,9911,9254,9533,9362
Calr-ps,1,2,5,1,1,0,0,1
Calr3,5,1,2,1,9,6,5,4
Calu,2404,2463,2364,2194,2548,2364,2293,2299
Caly,0,0,0,0,0,0,0,0
Camk1,55,43,51,29,3,4,0,2
Camk1d,703,842,750,755,1540,1283,1239,1302
Camk1g,0,1,1,0,0,0,0,0
Camk2a,87,92,87,62,49,36,24,30
Camk2b,328,297,394,400,187,158,157,159
Camk2d,3480,2943,3080,3073,1319,1264,1248,1194
Camk2g,1176,1115,1143,1069,1360,1029,1118,1162
Camk2n1,115,140,122,104,26,33,30,26
Camk2n2,24,15,27,12,1,1,0,1
Camk4,2598,2506,2138,2587,3488,2529,2577,2541
Camkk1,182,224,170,211,174,181,168,176
Camkk2,332,387,328,368,784,677,646,730
Camkmt,108,119,113,103,38,33,33,31
Camkv,0,0,1,2,0,0,1,0
Caml,414,400,370,403,365,304,297,344
Camp,4,10,1,0,4,5,0,0
Camsap1,1077,868,1094,1028,676,640,584,698
Camsap2,758,613,791,827,1463,1357,1360,1502
Camsap3,13,6,15,5,1,0,0,1
Camta1,178,178,161,174,198,175,180,206
Camta2,2076,1919,2055,2164,1604,1387,1481,1700
Cand1,3413,3290,3272,3101,3540,2873,2750,2990
Cand2,924,699,861,736,513,375,372,362
Cant1,2650,2754,2668,2778,2634,2209,2329,2347
Canx,5040,5636,5259,5527,5180,4867,4673,4866
Cap1,15016,17862,15087,16155,15985,14415,14319,15607
Cap2,24,44,24,21,35,45,38,36
Capg,3415,3820,3954,2914,833,638,639,611
Capn1,4518,5149,4735,5088,4758,4301,4341,4596
Capn10,319,308,279,277,249,216,218,258
Capn11,0,0,174,83,0,2,137,40
Capn12,1,0,0,1,0,1,0,0
Capn13,8,2,7,3,0,0,0,0
Capn15,966,945,945,1005,824,815,792,934
Capn2,2190,2615,2410,2298,2145,1882,1799,1857
Capn3,191,253,152,184,123,72,78,61
Capn5,335,221,325,189,11,9,7,8
Capn6,0,0,0,0,0,0,0,0
Capn7,1934,1865,1950,1930,1858,1516,1582,1796
Capn8,0,0,0,0,0,0,0,0
Capn9,0,0,0,0,0,0,0,0
Capns1,5797,7240,6174,6026,3977,3428,3599,3543
Capns2,0,0,0,0,0,0,0,0
Caprin1,6874,7049,7059,6897,8305,7465,7399,8109
Caprin2,150,136,110,121,129,117,118,120
Caps2,27,27,35,16,0,0,0,0
Capsl,67,50,66,60,10,13,5,4
Capza1,2458,2561,2364,2495,3015,2662,2513,2698
Capza2,3342,3710,3430,3302,3713,3268,3183,3136
Capzb,7275,8598,7201,7569,7218,6592,6598,6859
Car1,25,22,10,9,3,8,3,2
Car11,58,88,45,61,30,27,31,33
Car12,36,20,20,40,114,83,95,117
Car13,3,8,3,6,0,4,0,0
Car14,0,0,0,0,0,0,0,0
Car15,6,6,5,6,7,7,9,19
Car2,64,25,36,33,83,80,91,68
Car3,1,0,0,1,0,1,0,0
Car5a,1,0,0,0,0,0,0,0
Car5b,233,252,307,211,3,5,2,2
Car7,48,28,35,43,34,22,44,25
Car8,0,0,1,1,0,0,0,0
Car9,9,11,7,9,7,3,6,4
Card10,80,81,75,53,1,7,1,5
Card11,3622,3642,3718,3838,5251,4601,4612,5092
Card14,1,0,1,0,0,0,0,0
Card6,2389,2698,2875,2922,3745,3520,3664,3919
Card9,9,7,6,5,170,109,145,146
Carf,255,227,267,266,189,183,139,160
Carhsp1,507,542,502,527,140,123,121,125
Carkd,587,587,510,561,517,451,434,459
Carlr,0,0,0,0,0,0,0,0
Carm1,1481,1397,1364,1374,1404,1245,1222,1210
Carns1,944,903,901,786,1125,813,877,926
Cars,403,445,432,469,769,656,683,735
Cars2,445,508,479,514,541,498,543,582
Casc1,20,23,18,20,12,13,10,6
Casc3,2582,2661,2479,2644,3165,2811,2750,3045
Casc4,347,297,353,257,223,168,174,122
Casc5,75,49,34,57,30,16,22,12
Casd1,1222,1278,1265,1270,1197,1105,1108,1108
Cask,157,144,175,142,68,53,65,52
Caskin1,0,0,1,1,0,0,0,0
Caskin2,437,428,472,457,28,20,25,27
Casp1,2640,2899,2901,3014,207,261,260,228
Casp12,1,2,0,2,1,2,0,0
Casp16,1,0,2,1,2,3,1,1
Casp2,2213,2166,2228,2174,2189,1868,1925,2006
Casp3,1473,1328,1372,1299,225,198,196,201
Casp4,2764,2494,2683,2267,141,149,140,141
Casp6,400,443,396,415,585,525,506,529
Casp7,721,741,737,768,270,241,201,241
Casp8,2579,2855,2506,2565,4243,3567,3669,3734
Casp8ap2,1341,1134,1285,1247,1571,1281,1234,1340
Casp9,541,537,478,503,569,519,433,484
Casq1,1,0,1,1,0,0,0,0
Casr,0,0,0,0,0,0,0,1
Cass4,660,599,601,505,7,7,3,7
Cast,3205,3313,3323,3105,5162,4302,4262,4244
Casz1,307,217,304,280,140,116,137,139
Cat,1438,1703,1436,1573,2225,1844,1883,1984
Catip,1,0,1,1,1,0,0,0
Catsper2,61,56,52,42,58,38,36,44
Catsper3,1,1,0,0,1,0,1,0
Catsper4,0,0,0,0,0,0,0,0
Catsperd,148,153,135,117,39,51,26,30
Catsperg1,58,48,46,33,7,12,6,6
Catsperg2,0,0,0,0,1,1,0,0
Cav1,0,0,0,1,0,0,0,0
Cav2,18,19,20,12,0,1,0,0
Cbfa2t2,794,721,778,765,670,570,546,584
Cbfa2t2-ps1,2,1,1,0,0,0,0,0
Cbfa2t3,139,152,130,137,6,4,5,3
Cbfb,3540,3989,3790,3804,4218,3921,3727,3688
Cbl,3051,1633,2665,2333,3729,2934,2260,3070
Cblb,3559,3278,3617,3632,3426,3379,3178,3260
Cblc,0,0,0,0,0,1,0,0
Cbll1,907,921,856,931,822,721,792,794
Cbln1,0,0,0,0,0,0,0,0
Cbln3,5,3,3,8,0,2,1,0
Cbln4,0,0,0,0,0,0,0,0
Cbr1,922,1045,814,887,1183,1128,1134,1139
Cbr2,0,0,0,0,0,0,0,0
Cbr3,0,0,1,0,0,1,1,0
Cbr4,183,171,167,156,127,101,92,98
Cbs,0,0,0,0,1,0,0,0
Cbwd1,158,150,137,149,158,130,145,154
Cbx1,1320,1435,1415,1520,1393,1290,1232,1387
Cbx2,257,214,192,232,516,344,366,367
Cbx3,461,494,452,450,550,513,451,454
Cbx3-ps3,0,0,1,1,1,0,0,1
Cbx4,1836,1832,1786,1792,3703,2846,2991,3050
Cbx5,2378,1897,2295,2127,1671,1598,1482,1645
Cbx6,5733,5063,5623,5258,1409,1211,1176,1276
Cbx7,8674,7653,8382,7436,5181,4633,4829,5174
Cbx8,255,294,251,280,441,382,379,389
Cby1,216,221,184,185,131,113,112,116
Cby3,0,0,0,0,0,0,0,0
Cc2d1a,1566,1658,1459,1559,1085,1052,1107,1178
Cc2d1b,2329,2495,2143,2387,2436,2121,2146,2188
Cc2d2a,225,157,205,149,0,0,0,1
Ccar1,2343,2154,2390,2400,2343,2187,2193,2377
Ccar2,3223,3131,3029,3012,2731,2401,2237,2385
Ccbl1,139,182,140,155,331,275,264,292
Ccbl2,41,33,48,41,43,43,40,42
Ccdc101,321,435,311,350,605,522,576,560
Ccdc102a,15,8,3,6,118,102,100,81
Ccdc103,4,2,0,1,0,0,0,0
Ccdc106,1,5,3,1,1,1,1,0
Ccdc107,308,386,274,266,404,386,412,345
Ccdc108,0,0,0,0,0,0,0,0
Ccdc109b,310,337,349,311,94,63,81,60
Ccdc112,68,45,72,48,11,9,7,9
Ccdc114,14,18,15,9,63,34,46,58
Ccdc115,549,740,587,643,707,686,599,590
Ccdc116,33,18,19,33,28,23,31,27
Ccdc117,1119,1238,1234,1374,1087,1070,1176,1351
Ccdc12,715,931,763,767,801,733,737,705
Ccdc120,171,104,169,116,0,0,0,0
Ccdc122,74,38,39,29,6,4,6,1
Ccdc124,637,735,616,618,639,561,579,596
Ccdc125,869,821,843,822,575,467,492,512
Ccdc126,443,469,469,413,298,215,234,234
Ccdc127,894,820,795,775,936,771,810,831
Ccdc13,2,0,0,0,2,0,0,2
Ccdc130,410,439,381,443,410,330,357,376
Ccdc132,486,470,437,477,597,525,503,543
Ccdc134,453,475,397,480,463,492,438,540
Ccdc136,99,70,63,58,2,2,2,3
Ccdc137,672,696,651,719,632,607,665,694
Ccdc138,28,33,33,34,33,27,24,36
Ccdc14,140,104,143,134,117,103,105,94
Ccdc141,424,322,408,402,37,31,42,29
Ccdc142,445,438,394,478,367,392,366,446
Ccdc142os,35,30,32,27,25,26,21,19
Ccdc146,0,0,0,0,0,0,0,0
Ccdc148,34,28,29,21,11,6,10,14
Ccdc149,0,0,0,0,0,0,0,0
Ccdc15,159,108,131,116,154,145,93,126
Ccdc150,6,4,4,2,3,4,1,8
Ccdc151,1,1,0,0,0,0,0,0
Ccdc152,0,0,0,0,0,1,0,0
Ccdc153,0,0,0,0,0,0,0,0
Ccdc154,1,4,1,4,1,0,3,4
Ccdc155,4,1,3,7,2,1,0,2
Ccdc157,639,460,518,469,170,109,117,144
Ccdc158,12,15,13,5,2,4,1,2
Ccdc159,4,11,10,9,2,0,0,0
Ccdc160,0,0,0,0,1,0,0,0
Ccdc162,9,2,3,5,30,19,21,21
Ccdc163,287,359,311,326,124,118,95,110
Ccdc166,259,296,255,266,284,294,258,310
Ccdc167,413,328,331,323,336,295,268,311
Ccdc169,2,2,0,1,2,1,0,2
Ccdc17,207,180,160,168,98,74,62,82
Ccdc170,5,2,3,7,21,13,15,21
Ccdc171,315,255,279,305,250,214,269,218
Ccdc173,76,75,66,58,45,54,32,30
Ccdc174,514,564,495,536,593,518,563,567
Ccdc175,0,1,0,0,2,0,1,1
Ccdc176,7,8,3,18,39,28,24,25
Ccdc177,3,0,1,1,0,0,0,0
Ccdc18,28,16,16,21,14,12,6,5
Ccdc181,252,201,182,208,91,88,79,74
Ccdc183,0,0,0,0,0,0,0,0
