gene_name,TC1-Tfh,TC2-Tfh,TC4-Tfh,TC1-Tn,TC2-Tn,TC4-Tn
Atp2a2,3746,3412,3649,3503,3224,3496
Atp2a3,9955,9235,10447,11417,9963,11505
Atp2b1,3861,3372,3864,1990,1837,1912
Atp2b2,16,36,26,0,1,0
Atp2b3,0,0,0,0,0,0
Atp2b4,3194,2765,3074,78,72,70
Atp2c1,1562,1393,1616,1665,1434,1597
Atp2c2,1,0,0,2,0,1
Atp4a,1,1,2,0,0,0
Atp5a1,8055,7056,8243,9184,7824,8611
Atp5b,8266,6943,8045,10473,8860,9775
Atp5c1,2312,2116,2518,2884,2355,2818
Atp5d,2140,1657,1946,2166,1831,1993
Atp5e,1099,863,1070,1237,1015,1159
Atp5f1,1746,1472,1723,2131,1755,2038
Atp5g1,445,372,467,502,397,463
Atp5g2,342,317,388,396,348,413
Atp5g3,1780,1563,1749,1799,1577,1707
Atp5h,1491,1374,1751,2332,1955,2390
Atp5j,1321,1087,1412,1220,973,1158
Atp5j2,948,882,1098,1111,941,1051
Atp5k,444,380,447,530,398,480
Atp5k-ps2,0,0,0,0,1,1
Atp5l,24,15,18,29,27,35
Atp5l-ps1,0,0,0,0,0,0
Atp5l-ps2,0,0,0,0,0,0
Atp5l2-ps,2,3,3,1,0,2
Atp5o,1065,884,1091,1346,1140,1255
Atp5s,107,85,121,67,59,66
Atp5sl,894,828,997,1042,953,1080
Atp6ap1,2515,2186,2507,2643,2165,2577
Atp6ap1l,0,0,0,0,0,0
Atp6ap2,941,890,1002,1089,929,1018
Atp6v0a1,111,115,144,111,83,73
Atp6v0a2,2714,2586,2673,3465,3052,3358
Atp6v0a4,0,0,1,0,0,0
Atp6v0b,913,855,893,898,914,935
Atp6v0c,494,370,402,564,437,466
Atp6v0d1,965,697,1012,1043,908,1069
Atp6v0d2,173,123,190,7,5,10
Atp6v0e,1187,972,1200,1185,1062,1139
Atp6v0e2,9,10,12,0,0,0
Atp6v1a,841,760,912,815,708,776
Atp6v1b1,0,0,0,0,0,0
Atp6v1b2,1520,1242,1519,1380,1224,1340
Atp6v1c1,875,763,946,858,671,818
Atp6v1c2,5,2,8,0,0,0
Atp6v1d,1481,1219,1438,2076,1912,1950
Atp6v1e1,911,775,923,1016,821,934
Atp6v1f,938,833,929,908,724,797
Atp6v1g1,442,369,475,506,469,519
Atp6v1g2,284,249,329,58,39,76
Atp6v1g3,12,9,17,0,1,2
Atp6v1h,792,676,819,876,702,799
Atp7a,310,296,334,435,435,430
Atp7b,14,8,10,6,6,3
Atp8a1,2010,1849,2443,2187,1998,2391
Atp8a2,5,18,3,23,30,25
Atp8b1,2,1,0,1,0,0
Atp8b2,3860,3634,3649,4023,3788,3788
Atp8b3,0,0,1,0,0,0
Atp8b4,17,45,30,1149,1123,1216
Atp8b5,1,1,1,0,0,0
Atp9a,1554,1262,1779,108,121,102
Atp9b,3327,2965,3826,2046,1757,2068
Atpaf1,239,189,218,196,181,172
Atpaf2,530,445,527,594,517,609
Atpif1,404,362,411,175,142,213
Atr,1196,1157,1414,1385,1249,1589
Atraid,447,369,476,495,430,498
Atrip,23,22,33,19,15,27
Atrn,999,898,942,1449,1339,1502
Atrnl1,74,82,113,71,80,87
Atrx,8779,9196,9631,7949,8225,9034
Atxn1,2049,2007,2271,429,418,482
Atxn10,1842,1533,2100,1543,1340,1620
Atxn1l,1446,1233,1465,1256,1034,1317
Atxn2,1087,989,1152,1288,1193,1197
Atxn2l,10342,10451,10714,11958,11426,12274
Atxn3,953,819,927,1019,874,1098
Atxn7,2563,2599,2704,2693,2504,2828
Atxn7l1,2833,2748,3144,2733,2534,2744
Atxn7l1os2,0,1,1,1,0,0
Atxn7l2,241,234,287,383,359,383
Atxn7l3,2403,2038,2241,3436,2879,3327
Atxn7l3b,1664,1534,1806,1851,1645,1883
Auh,914,726,910,731,742,834
Aunip,0,2,0,0,0,0
Aup1,3451,3178,3770,3525,3112,3522
Aurka,29,28,29,38,41,46
Aurkaip1,682,607,835,890,707,760
Aurkb,18,17,22,3,3,6
Aurkc,0,0,0,0,1,1
Auts2,2,7,2,49,59,39
Aven,382,312,423,733,650,692
Avil,43,48,60,51,67,83
Avl9,1598,1498,1733,2031,1779,1849
Avpi1,28,18,15,40,22,39
Avpr1a,1,0,0,0,0,0
Avpr1b,0,0,0,0,0,0
Avpr2,0,0,0,0,0,1
Awat1,0,0,0,0,0,0
Awat2,7,7,10,5,4,6
Axdnd1,4,2,3,9,2,9
Axin1,2220,2040,2169,2923,2564,2804
Axin2,2075,1984,1883,1406,1345,1327
Axl,1834,1690,1948,29,14,35
Azi2,1956,1867,2073,2695,2510,2743
Azin1,2516,2478,2718,1747,1689,1753
Azin2,3,1,4,2,0,1
B020018G12Rik,0,4,6,3,6,6
B130006D01Rik,0,1,0,2,5,1
B130034C11Rik,15,10,7,18,15,24
B130046B21Rik,1,0,0,0,0,2
B130055M24Rik,140,137,171,149,152,200
B230104I21Rik,0,0,0,0,0,0
B230110C06Rik,0,1,0,1,1,1
B230112G18Rik,0,0,0,1,0,1
B230118H07Rik,10,14,4,69,50,65
B230206H07Rik,0,0,0,0,0,0
B230206L02Rik,0,0,1,0,0,0
B230208H11Rik,1,5,7,3,1,2
B230216G23Rik,3,5,20,21,17,14
B230216N24Rik,22,23,21,23,6,17
B230217C12Rik,38,37,37,10,5,11
B230217O12Rik,83,56,102,36,30,27
B230219D22Rik,1785,1532,1953,2504,2063,2792
B230307C23Rik,88,59,86,120,102,126
B230312C02Rik,0,0,0,1,0,0
B230317F23Rik,0,0,0,3,1,3
B230319C09Rik,1,0,0,0,0,0
B230322F03Rik,6,7,5,9,9,7
B230323A14Rik,0,1,1,0,0,0
B230325K18Rik,23,14,20,21,17,18
B230344G16Rik,0,1,0,7,3,2
B230354K17Rik,306,259,349,128,154,144
B230359F08Rik,1,6,1,10,10,9
B230369F24Rik,9,2,8,10,6,15
B230377A18Rik,0,0,0,0,0,0
B230398E01Rik,9,10,10,13,13,8
B2m,34668,33276,36384,42914,32369,40345
B330016D10Rik,27,26,30,53,39,62
B3galnt1,0,0,0,0,1,0
B3galnt2,626,601,620,744,691,776
B3galt1,175,154,216,0,0,1
B3galt2,11,3,5,0,0,0
B3galt4,153,161,171,341,272,337
B3galt5,85,129,83,3,2,2
B3galt6,132,141,166,178,140,167
B3gat2,0,0,1,1,0,0
B3gat3,997,827,1019,773,636,715
B3glct,124,111,137,153,148,149
B3gnt2,23,19,25,8,18,16
B3gnt3,76,70,95,101,61,71
B3gnt4,0,0,0,1,0,0
B3gnt5,516,485,623,371,246,329
B3gnt6,3,2,3,2,0,0
B3gnt7,0,1,0,0,0,0
B3gnt8,1,1,2,0,0,2
B3gnt9,146,97,142,31,26,19
B3gntl1,395,399,445,381,329,383
B430010I23Rik,0,0,1,0,0,0
B430203G13Rik,2,2,7,3,0,1
B430212C06Rik,0,0,0,0,0,0
B430218F22Rik,1,0,0,1,0,1
B430219N15Rik,0,0,1,1,0,1
B430305J03Rik,22,22,37,12,15,23
B430306N03Rik,11,12,9,674,462,607
B4galnt1,6571,6656,6478,11676,9554,11006
B4galnt2,0,0,0,0,0,0
B4galnt3,0,1,1,0,2,0
B4galnt4,1008,886,1063,12,5,15
B4galt1,2294,2178,2308,3559,3125,3511
B4galt2,2,5,2,0,0,3
B4galt3,752,716,878,937,901,997
B4galt4,170,163,170,6,4,4
B4galt5,496,570,531,787,746,758
B4galt6,20,3,15,0,0,0
B4galt7,522,489,598,904,772,939
B4gat1,230,187,193,204,185,207
B630005N14Rik,618,580,713,731,680,805
B630019A10Rik,178,162,245,110,117,138
B630019K06Rik,91,65,92,46,40,27
B830012L14Rik,0,0,0,0,0,0
B930036N10Rik,14,12,10,16,11,21
B930082K07Rik,0,0,0,0,0,0
B930094E09Rik,1,1,0,2,0,1
B930095G15Rik,257,257,321,8,3,5
B9d1,19,18,24,0,2,1
B9d1os,0,0,0,1,0,0
B9d2,311,247,309,133,123,165
BB014433,0,0,0,0,0,0
BB031773,0,0,0,0,0,0
BB365896,0,0,0,0,0,0
BB557941,0,0,0,0,0,0
BC001981,0,0,0,0,0,0
BC002059,392,308,429,367,427,428
BC002163,91,75,100,111,87,98
BC003331,672,598,771,492,442,557
BC003965,424,371,486,513,445,523
BC004004,793,693,975,532,412,546
BC005537,8092,7556,8629,7939,6967,7927
BC005561,259,228,244,490,404,524
BC005624,897,813,882,980,745,965
BC016579,0,0,1,1,1,1
BC017158,728,739,909,663,582,714
BC017643,2253,2044,2356,2283,2080,2354
BC018473,58,24,58,0,0,1
BC021614,1127,863,1133,569,405,460
BC021767,0,0,0,0,0,0
BC021785,2,5,3,10,10,11
BC022687,9,7,6,1,0,0
BC022960,1,0,5,3,0,1
BC023105,10,12,13,0,0,2
BC023719,0,2,1,0,0,0
BC023829,575,524,642,461,408,480
BC024978,181,150,189,266,200,288
BC025920,195,148,244,219,200,314
BC026585,117,107,131,16,16,11
BC027231,478,489,531,654,612,591
BC028471,1,0,0,0,0,0
BC028528,1,0,0,0,0,1
BC028777,1,0,0,0,0,0
BC029214,519,496,571,679,645,674
BC029722,644,498,651,578,479,548
BC030336,501,392,474,545,488,569
BC030499,4,11,8,11,10,17
BC030867,0,4,7,0,3,1
BC031181,610,524,604,770,592,723
BC034090,4,0,1,8,3,7
BC035044,17,19,27,2,1,4
BC035947,0,0,0,0,0,0
BC037032,10,6,8,19,14,19
BC037034,1987,1966,2017,2299,1971,2339
BC037039,2,1,0,0,0,0
BC039771,1,0,0,0,0,0
BC043934,151,135,216,649,520,756
BC046401,0,1,0,0,0,1
BC048403,242,192,262,300,253,315
BC048507,0,0,0,0,1,0
BC048562,0,0,0,0,0,0
BC048609,0,1,1,2,0,1
BC048644,3,1,2,13,5,12
BC049352,9,8,12,10,7,6
BC049715,15,10,6,62,59,67
BC049762,0,3,2,1,2,0
BC051019,0,0,0,1,0,2
BC051077,1,1,0,0,0,0
BC051142,81,57,77,4,6,6
BC051226,88,70,97,143,130,151
BC051537,9,17,16,23,18,26
BC051628,7,2,5,4,0,4
BC052040,192,196,196,166,112,133
BC053393,0,0,0,0,0,0
BC055111,3,1,1,1,1,2
BC055308,37,35,35,20,19,19
BC055324,92,95,122,60,64,89
BC064078,144,147,168,9,9,22
BC065397,141,102,123,180,176,172
BC065403,0,0,0,0,0,1
BC067074,0,0,0,0,0,0
BC068281,144,133,141,190,172,196
BC085271,3,6,0,1,3,2
BC094916,63,112,70,660,631,656
BC100451,20,18,23,4,10,4
BC106179,153,126,158,365,345,488
BC147527,1,0,0,0,0,0
BE692007,2299,1867,2638,1200,889,1172
BX510318.1,21,12,8,4,4,6
Baat,0,1,0,0,0,0
Babam1,1197,1002,1263,1235,1055,1315
Bace1,7,6,4,6,5,6
Bace2,117,84,114,2,0,0
Bach1,536,476,473,879,771,923
Bach2,647,697,741,4854,4395,4733
Bach2it1,4,4,3,41,52,44
Bach2os,0,1,0,5,3,4
Bad,198,142,186,143,125,116
Bag1,1237,1059,1232,1045,898,1023
Bag2,26,37,27,14,16,9
Bag3,668,591,721,282,272,289
Bag4,811,683,991,576,474,575
Bag5,424,390,447,644,488,553
Bag6,4788,4366,5088,5210,4839,5241
Bahcc1,0,0,0,0,1,0
Bahd1,2555,1838,1982,1882,1417,1499
Baiap2,795,753,903,571,546,558
Baiap2l1,0,0,0,2,0,1
Baiap2l2,13,15,28,20,5,10
Baiap3,4091,3360,3954,150,94,89
Bak1,1005,848,955,822,693,839
Bambi,48,29,13,87,70,25
Bambi-ps1,199,93,179,972,629,776
Banf1,714,612,712,1245,1084,1180
Banf2os,0,0,0,0,0,0
Bank1,52,48,47,52,35,45
Banp,781,795,794,977,914,964
Bap1,1773,1580,1843,1978,1720,1841
Bard1,112,98,98,91,89,112
Barhl1,0,0,1,0,2,0
Barx2,22,14,24,0,0,0
Basp1,1,3,1,23,39,52
Batf,2580,2030,2704,576,415,452
Batf2,2,2,0,2,1,0
Batf3,0,0,0,0,0,0
Bax,1248,1021,1151,1183,996,1117
Baz1a,4053,3195,4001,2056,1813,2020
Baz1b,5421,5108,5720,6085,5761,6208
Baz2a,8897,7951,8789,8790,8374,8765
Baz2b,1447,1235,1444,1136,1150,1452
Bbc3,376,257,300,348,182,218
Bbip1,400,340,419,544,428,447
Bbs1,37,20,47,34,30,36
Bbs10,42,20,49,36,30,40
Bbs12,287,185,328,76,65,113
Bbs2,380,297,340,318,232,268
Bbs4,304,264,328,215,235,222
Bbs5,7,4,9,1,2,1
Bbs7,17,11,10,20,16,20
Bbs9,213,239,281,417,345,494
Bbx,1562,1529,1716,1592,1337,1705
Bcam,33,48,32,2,0,0
Bcan,0,0,0,0,0,0
Bcap29,488,454,509,435,359,474
Bcap31,1363,1212,1436,1565,1305,1525
Bcar1,23,14,20,0,0,0
Bcar3,18,8,7,0,0,0
Bcas1,50,42,61,17,11,8
Bcas1os1,0,0,0,0,0,0
Bcas1os2,0,1,0,0,0,0
Bcas2,1126,997,1195,1704,1520,1672
Bcas3,686,608,613,610,489,555
Bcat1,75,123,99,12,11,14
Bcat2,396,376,451,711,712,744
Bccip,957,845,937,1035,977,1098
Bcdin3d,192,161,216,202,166,178
Bche,3,0,4,0,0,0
Bckdha,585,453,580,398,325,457
Bckdhb,260,281,287,192,212,173
Bckdk,476,437,628,542,406,542
Bcl10,1101,1010,1175,928,892,905
Bcl11a,1,0,1,0,0,1
Bcl11b,7383,7096,7084,11068,9585,12051
Bcl2,2450,2253,3207,3160,2994,2971
Bcl2a1a,3,1,1,0,0,0
Bcl2a1b,321,284,333,53,28,29
Bcl2a1c,2,1,4,0,0,0
Bcl2a1d,183,158,216,14,5,7
Bcl2l1,356,546,429,255,216,276
Bcl2l10,0,0,1,0,0,0
Bcl2l11,875,860,913,1904,1600,1850
Bcl2l12,227,198,253,308,266,282
Bcl2l13,1171,881,1168,1276,1064,1282
Bcl2l14,34,37,53,10,9,22
Bcl2l15,75,54,86,4,2,4
Bcl2l2,298,258,303,26,24,44
Bcl3,1194,902,1152,1238,789,992
Bcl6,5618,3843,5608,710,595,796
Bcl6b,3,6,3,0,0,2
Bcl7a,900,751,969,880,796,970
Bcl7b,918,775,938,1175,984,1057
Bcl7c,288,268,305,154,172,149
Bcl9,1046,834,1200,1280,1136,1448
Bcl9l,2154,2267,1933,5958,5325,5325
Bclaf1,5800,5587,6191,6715,6430,6974
Bco2,12,35,14,2,1,1
Bcor,5361,5154,5914,3557,3466,3461
Bcorl1,210,268,243,530,547,542
Bcr,1160,1170,1318,846,740,779
Bcs1l,131,137,162,233,179,224
Bdh1,561,477,598,956,832,852
Bdh2,7,8,8,0,0,0
Bdnf,0,0,0,0,0,0
Bdp1,1913,1728,2042,2531,2214,2527
Becn1,2703,2492,2932,3199,2819,3199
Begain,24,16,10,23,19,29
Bend3,384,276,426,158,147,187
Bend4,7,11,15,12,5,8
Bend5,0,8,3,45,39,48
Bend6,11,10,16,16,11,9
Bend7,0,3,4,0,1,1
Best1,0,2,2,0,0,0
Best2,1,0,0,0,1,0
Best3,1,0,1,0,0,0
Best4-ps,0,2,1,0,0,0
Bet1,277,273,327,230,162,230
Bet1l,501,416,517,545,412,569
Bex1,0,2,0,0,1,0
Bex2,34,21,32,4,0,1
Bex4,1,0,0,0,0,0
Bex6,0,0,0,0,0,0
Bfar,1046,944,1159,1112,950,1250
Bfsp1,0,0,1,0,0,0
Bfsp2,0,0,0,7,5,7
Bglap,0,0,0,0,0,0
Bgn,2,0,1,0,0,0
Bhlha15,3,3,1,3,5,7
Bhlha9,0,0,1,0,0,0
Bhlhb9,804,746,925,353,337,344
Bhlhe40,6102,4679,5099,108,56,37
Bhlhe41,23,10,36,3,2,0
Bhmt,0,0,0,0,0,0
Bicc1,0,0,0,0,0,0
Bicd1,240,318,208,2,3,1
Bicd2,1306,1208,1334,1667,1516,1846
Bid,608,638,640,323,292,301
Bik,29,21,35,14,21,21
Bin1,1565,1674,1647,2055,2003,2143
Bin2,6932,6663,7499,7492,6910,7840
Bin3,754,642,772,617,523,620
Birc2,2662,2436,2741,2199,2002,2281
Birc3,1991,1773,2062,1961,1702,2065
Birc5,27,27,18,20,18,22
Birc6,9908,9280,10376,16618,15201,18481
Bivm,339,342,396,229,169,205
Blcap,396,323,498,312,291,350
Blk,11,5,12,0,0,0
Blm,127,126,168,179,176,199
Blmh,1042,870,1040,508,422,474
Blnk,2,1,4,0,1,1
Bloc1s1,22,20,22,20,18,23
Bloc1s2,272,235,291,267,219,279
Bloc1s2-ps,1,0,0,1,1,1
Bloc1s3,177,157,180,236,193,257
Bloc1s4,162,140,151,197,153,163
Bloc1s5,214,183,234,156,107,133
Bloc1s6,715,966,1217,670,959,1033
Bloc1s6os,2,4,4,3,1,1
Blvra,343,323,406,399,360,333
Blvrb,53,59,68,101,64,107
Blzf1,378,296,393,372,344,411
Bmf,167,76,118,1,5,3
Bmi1,1790,1502,1811,1431,1235,1340
Bmp1,73,42,109,4,5,2
Bmp10,0,0,0,0,0,0
Bmp2,0,0,0,0,0,0
Bmp2k,1247,1060,1159,1053,869,989
Bmp4,0,0,0,0,0,0
Bmp5,0,0,0,0,0,0
Bmp6,1,1,1,0,0,0
Bmp7,1164,1187,1230,29,22,23
Bmp8a,1,0,2,0,1,0
Bmp8b,0,0,1,0,1,0
Bmper,0,0,0,0,0,0
Bmpr1a,160,131,113,150,85,127
Bmpr1b,0,0,1,0,0,0
Bmpr2,849,827,982,156,178,172
Bms1,2115,1934,2282,2695,2490,2769
Bmx,0,0,0,0,0,0
Bmyc,474,429,479,265,201,249
Bnc1,0,0,0,0,0,0
Bnc2,0,0,0,0,0,0
Bnip1,428,402,480,493,426,456
Bnip2,1279,1136,1291,1599,1278,1414
Bnip3,89,57,105,90,89,69
Bnip3l,1771,1550,1845,1802,1615,1862
Bnipl,0,1,2,6,4,3
Boc,62,21,69,0,0,1
Bod1,195,165,203,218,205,203
Bod1l,3350,2995,3424,3602,3208,3888
Bok,0,0,0,1,0,0
Bola1,96,88,80,121,104,83
Bola2,271,187,274,521,440,484
Bola3,265,205,308,262,230,252
Boll,2,5,8,35,29,23
Bop1,1281,1118,1218,1791,1512,1635
Bora,249,257,262,245,211,234
Bpgm,753,606,834,390,312,437
Bphl,222,180,197,213,193,210
Bpi,1,0,0,0,0,0
Bpifa6,0,0,0,0,0,0
Bpifb2,0,0,0,0,0,0
Bpifc,0,0,0,0,0,0
Bpnt1,181,154,167,368,317,302
Bptf,6456,5695,6536,8025,7063,8237
Braf,1295,1262,1466,1478,1334,1542
Brap,2141,1907,2110,2342,2130,2284
Brat1,671,646,799,1007,805,1031
Brca1,98,95,102,66,55,87
Brca2,107,98,140,112,91,130
Brcc3,934,838,899,899,873,964
Brd1,2778,2541,2732,3504,3145,3347
Brd2,9214,8144,9830,10305,9145,10072
Brd3,889,830,1104,984,924,1083
Brd4,6529,6034,6422,6859,6325,7017
Brd7,1193,1073,1232,1465,1321,1497
Brd8,3930,3730,4206,2734,2625,2956
Brd9,1312,1239,1366,1423,1327,1402
Brdt,22,36,35,117,114,114
Bre,539,419,518,553,454,459
Brf1,1793,1743,1852,3036,3095,3195
Brf2,141,146,184,172,126,162
Bri3,123,99,96,137,124,128
Bri3bp,455,435,457,478,436,526
Bricd5,4,8,5,15,13,16
Brinp2,1,1,0,0,0,0
Brip1,28,31,30,47,43,57
Brip1os,651,626,755,648,569,764
Brix1,619,533,663,826,711,803
Brk1,1834,1592,1932,1922,1577,1773
Brms1,823,630,824,818,674,830
Brms1l,387,299,424,374,360,451
Brox,764,735,803,728,642,732
Brpf1,1690,1486,1718,2513,2264,2552
Brpf3,1320,1220,1347,1463,1436,1536
Brs3,0,0,0,0,0,0
Brsk1,22,5,17,0,1,0
Brsk2,1,0,0,0,0,2
Brwd1,2199,2114,2350,3428,3399,3984
Brwd3,895,958,931,1021,1009,1164
Bscl2,1067,982,1050,865,825,862
Bsdc1,1326,1247,1494,1307,1140,1280
Bsg,1841,1567,1805,1590,1433,1472
Bsn,21,35,30,42,34,56
Bspry,138,67,104,5,1,2
Bst1,1,4,0,0,0,0
Bst2,422,385,441,1012,720,896
Btaf1,1721,1607,1873,2206,2069,2439
Btbd1,625,626,622,754,669,682
Btbd10,454,418,462,379,416,361
Btbd11,1255,1121,1574,717,685,841
Btbd16,66,66,76,8,3,3
Btbd17,1,2,2,3,1,1
Btbd18,0,0,0,0,0,0
Btbd19,1080,882,1212,481,402,528
Btbd2,942,818,1002,850,636,813
Btbd3,0,3,0,0,1,3
Btbd6,767,600,799,906,745,843
Btbd7,874,781,917,1035,947,1049
Btbd8,21,20,24,7,11,8
Btbd9,752,700,822,613,551,669
Btc,4,9,5,21,26,32
Btd,429,456,454,301,313,308
Btf3,2085,1724,2050,2833,2261,2520
Btf3l4,140,138,180,162,144,189
Btg1,18936,17671,16283,25999,23247,19485
Btg1-ps2,0,0,0,0,0,0
Btg2,6607,5449,5491,6502,5810,5555
Btg3,13,23,17,14,7,12
Btk,4,9,13,4,3,11
Btla,6792,5617,8275,3220,2819,3387
Btn1a1,0,0,0,0,0,0
Btn2a2,0,0,0,0,0,0
Btnl1,0,0,0,0,0,0
Btnl10,0,0,0,0,1,0
Btnl2,3,4,6,15,20,20
Btnl4,0,1,1,0,0,0
Btnl5-ps,0,3,1,0,0,0
Btnl6,1,0,0,0,0,0
Btnl7-ps,475,364,458,77,58,53
Btnl9,0,0,0,1,1,0
Btrc,581,501,656,490,373,459
Bub1,11,14,13,3,3,5
Bub1b,43,41,36,4,7,5
Bub3,1282,1167,1345,1473,1270,1366
Bud13,403,376,466,545,464,492
Bud31,912,757,934,1024,862,981
Bves,0,0,0,0,0,0
Bvht,0,0,1,0,0,0
Bysl,221,210,236,617,561,589
Bzrap1,4282,4656,4906,137,102,133
Bzw1,4314,3995,4403,5699,4916,5113
Bzw2,1637,1607,1682,2664,2165,2456
C030005K06Rik,7,6,9,0,0,1
C030010L15Rik,0,3,2,1,1,0
C030013C21Rik,3,3,0,0,0,0
C030013D06Rik,30,13,19,24,27,18
C030014I23Rik,0,3,4,0,0,1
C030034I22Rik,44,50,59,158,145,169
C030034L19Rik,651,585,909,3,1,6
C030037D09Rik,41,40,59,20,12,14
C030039L03Rik,125,104,156,73,78,109
C130012C08Rik,0,0,0,0,0,0
C130021I20Rik,1,2,0,0,1,2
C130026I21Rik,67,65,93,62,82,85
C130036L24Rik,76,75,105,195,174,272
C130046K22Rik,24,13,31,41,37,43
C130050O18Rik,0,0,1,0,4,2
C130060C02Rik,6,2,2,0,0,0
C130074G19Rik,0,0,0,0,0,0
C130089K02Rik,1,0,0,0,0,0
C1d,590,529,556,578,506,541
C1galt1,677,608,693,959,807,926
C1galt1c1,213,190,194,265,214,247
C1qa,1,1,0,0,0,0
C1qb,0,1,0,1,0,0
C1qbp,583,533,591,1017,884,1046
C1qc,2,0,1,0,0,0
C1ql1,2,1,0,0,0,0
C1ql2,0,0,0,0,0,0
C1ql3,2,8,1,0,1,1
C1ql4,0,0,0,0,0,0
C1qtnf1,0,0,0,0,0,0
C1qtnf4,21,15,35,11,11,5
C1qtnf6,221,227,237,1,6,7
C1qtnf9,20,15,20,15,13,24
C1ra,10,4,10,0,0,0
C1rl,0,0,0,0,0,0
C1s1,0,0,0,0,0,0
C1s2,0,2,2,0,1,3
C2,14,6,16,10,7,4
C230012O17Rik,0,0,1,0,0,0
C230014O12Rik,0,0,0,0,0,0
C230024C17Rik,38,32,43,1,1,0
C230035I16Rik,2,0,1,0,0,0
C230037L18Rik,111,90,89,111,110,119
C230038L03Rik,1,3,4,2,2,1
C230052I12Rik,180,158,259,220,161,197
C230062I16Rik,5,5,8,6,5,2
C230066G23Rik,4,3,2,5,5,6
C230085N15Rik,4,3,1,113,135,134
C2cd2,408,394,471,280,280,290
C2cd2l,399,326,351,633,572,652
C2cd3,2820,2441,2940,2593,2292,2902
C2cd4a,0,0,1,0,0,0
C2cd4b,125,80,69,0,0,2
C2cd4c,0,0,0,0,0,0
C2cd5,2919,2396,3148,1398,1285,1560
C3,293,170,266,5,0,1
C330006A16Rik,431,338,500,538,397,571
C330007P06Rik,663,598,741,553,463,645
C330011M18Rik,66,81,68,45,48,55
C330013E15Rik,9,15,9,20,19,10
C330013J21Rik,4,3,2,7,11,5
C330018A13Rik,0,0,1,0,0,1
C330018D20Rik,207,189,264,213,182,240
C330019F10Rik,0,0,0,0,0,0
C330021F23Rik,0,0,0,0,0,0
C330022C24Rik,0,0,0,0,0,1
C330027C09Rik,109,107,161,52,56,85
C3ar1,0,0,0,0,0,0
C430002N11Rik,27,17,31,10,2,10
C430014B12Rik,0,1,1,1,0,0
C430042M11Rik,7,12,11,4,0,2
C430049B03Rik,0,0,0,0,0,0
C4a,39,27,48,32,36,36
C4b,0,0,0,0,0,0
C4bp,0,0,0,1,1,0
C4bp-ps1,0,0,1,2,0,0
C530005A16Rik,3,3,14,3,5,5
C530008M17Rik,191,109,244,88,82,100
C530043A13Rik,0,0,0,0,0,0
C530050E15Rik,100,68,134,16,17,11
C5ar1,0,0,0,0,0,0
C5ar2,0,0,0,1,0,0
C6,0,0,0,0,0,0
C630004M23Rik,0,1,1,3,1,3
C630043F03Rik,0,0,0,6,2,1
C7,0,1,0,1,0,0
C730034F03Rik,20,23,21,32,38,30
C730036E19Rik,0,0,0,0,0,0
C77080,3,7,4,1,3,0
C77370,0,0,2,0,0,0
C78197,21,27,24,0,0,1
C78334,0,0,0,0,0,0
C78339,1191,925,1244,794,722,756
C87436,466,381,558,645,570,653
C8g,6,3,6,9,8,9
C920006O11Rik,84,90,95,115,95,92
C920009B18Rik,570,458,436,512,432,407
C920021L13Rik,4,7,6,5,4,5
C920025E04Rik,274,245,267,249,201,243
CAAA01077340.1,0,1,1,0,0,0
CAAA01154573.1,0,1,0,0,2,0
CH25-194I22.2,0,0,0,0,0,0
CH25-194I22.4,1,1,0,0,0,0
CH36-12I15.2,79,45,64,0,1,0
CH36-12I15.3,59,56,78,1,1,0
CN725425,0,1,0,0,0,0
Caap1,217,232,236,270,202,270
Cab39,5368,5936,5887,4858,4242,4651
Cab39l,535,564,704,755,515,698
Cabin1,3703,3344,3921,3571,3296,3614
Cables1,13,18,6,2,1,0
Cables2,1633,1388,1759,1309,1129,1227
Cabp1,10,25,14,12,7,15
Cabp4,4,6,7,0,0,0
Cabp5,0,0,0,0,0,0
Cabp7,14,1,15,0,0,0
Cabyr,2,2,4,5,7,13
Cacfd1,944,764,869,940,785,918
Cachd1,6,7,1,0,0,0
Cacna1a,266,342,318,200,232,258
Cacna1b,9,5,8,0,5,2
Cacna1c,0,0,0,0,0,0
Cacna1d,3095,2708,4490,10,9,7
Cacna1e,25,21,25,0,1,0
Cacna1f,2,2,0,0,1,0
Cacna1g,150,118,176,1,0,0
Cacna1h,9,4,2,2,1,0
Cacna1i,0,1,3,0,0,0
Cacna1s,93,51,89,0,0,1
Cacna2d1,1,3,2,0,0,0
Cacna2d2,39,24,32,68,55,78
Cacna2d3,0,1,1,0,0,0
Cacna2d4,722,628,725,860,747,892
Cacnb1,410,461,378,688,770,727
Cacnb2,0,1,2,2,1,4
Cacnb3,4,3,4,84,46,75
Cacnb4,4,1,1,4,3,4
Cacng2,0,0,0,0,0,0
Cacng3,0,1,0,0,0,0
Cacng4,1,6,4,0,1,4
Cacng5,5,0,2,0,0,0
Cacng6,0,1,0,0,0,0
Cacng7,21,35,26,0,0,1
Cacng8,15,22,24,0,0,0
Cactin,997,843,1076,1407,1332,1463
Cacul1,1289,1121,1259,1469,1181,1243
Cacybp,889,904,780,1197,1094,949
Cad,1076,971,1173,1821,1486,1718
Cadm1,0,1,0,0,0,0
Cadm2,0,0,0,0,0,0
Cadm3,0,0,0,0,0,0
